City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,10.29,61,92,1.34,AU,1721774850
1,remire-montjoly,4.9167,-52.2667,28.02,78,0,1.54,GF,1721774851
2,angaur state,6.906,134.13,25.63,92,100,6.02,PW,1721774852
3,waitangi,-43.9535,-176.5597,9.34,99,100,4.47,NZ,1721774853
4,angra do heroismo,38.65,-27.2167,24.34,83,20,0.45,PT,1721774854
5,ain taya,36.7933,3.2869,22.91,73,0,1.54,DZ,1721774855
6,port-aux-francais,-49.35,70.2167,2.54,98,100,12.12,TF,1721774856
7,adamstown,-25.066,-130.1015,18.77,65,90,10.59,PN,1721774857
8,ushuaia,-54.8,-68.3,3.81,87,40,17.49,AR,1721774858
9,grytviken,-54.2811,-36.5092,-6.84,77,25,7.02,GS,1721774861
10,atasu,48.6814,71.6433,22.13,54,41,3.17,KZ,1721774862
11,yuzhno-kurilsk,44.0306,145.8556,19.68,98,100,4.7,RU,1721774863
12,albany,42.6001,-73.9662,26.21,68,76,1.08,US,1721774026
13,maumere,-8.6199,122.2111,23.0,85,42,2.11,ID,1721774865
14,kingston,17.997,-76.7936,32.53,62,20,9.26,JM,1721774653
15,afaahiti,-17.75,-149.2833,25.93,74,55,7.29,PF,1721774867
16,isafjordur,66.0755,-23.124,9.1,94,100,3.39,IS,1721774868
17,anadyr,64.75,177.4833,17.28,67,0,8.0,RU,1721774869
18,smithers,54.7804,-127.1743,20.18,34,40,5.14,CA,1721774870
19,plouzane,48.3833,-4.6167,16.05,83,100,2.57,FR,1721774872
20,arar,30.9753,41.0381,34.01,16,0,9.26,SA,1721774873
21,bethel,41.3712,-73.414,24.05,86,100,2.06,US,1721774874
22,xining,36.6167,101.7667,14.47,90,79,0.63,CN,1721774875
23,ribeira grande,38.5167,-28.7,22.65,83,4,3.13,PT,1721774876
24,papao,-17.75,-149.55,26.82,71,15,7.68,PF,1721774877
25,mandan,46.8267,-100.8896,31.87,59,0,5.66,US,1721774878
26,avarua,-21.2078,-159.775,25.03,69,30,3.09,CK,1721774879
27,wailua homesteads,22.0669,-159.378,25.97,83,100,7.72,US,1721774880
28,bamboo flat,11.7,92.7167,29.05,84,75,6.69,IN,1721774882
29,port saint john's,-31.6229,29.5448,16.32,41,2,2.38,ZA,1721774883
30,luganville,-15.5333,167.1667,26.09,80,56,6.09,VU,1721774884
31,vorkuta,67.5,64.0,7.35,74,28,3.43,RU,1721774885
32,svetlyy,54.675,20.1347,12.03,85,7,1.49,RU,1721774886
33,san roque,36.2107,-5.3842,21.46,88,100,3.09,ES,1721774888
34,amalapuram,16.5833,82.0167,25.6,85,100,2.88,IN,1721774889
35,toliara,-23.35,43.6667,19.58,72,0,4.64,MG,1721774890
36,yellowknife,62.456,-114.3525,28.56,48,75,5.14,CA,1721774671
37,dire dawa,9.5931,41.8661,23.4,61,86,7.2,ET,1721774893
38,marco island,25.9363,-81.7157,29.0,92,50,3.74,US,1721774894
39,papatowai,-46.5619,169.4708,11.91,59,94,4.47,NZ,1721774895
40,bredasdorp,-34.5322,20.0403,10.12,76,98,2.74,ZA,1721774896
41,dryden,49.7833,-92.7503,18.16,63,100,2.06,CA,1721774897
42,edinburgh of the seven seas,-37.0676,-12.3116,14.86,86,99,18.85,SH,1721774898
43,jamestown,42.097,-79.2353,26.77,58,100,3.13,US,1721774665
44,georgetown,5.4112,100.3354,27.96,83,20,1.03,MY,1721774900
45,port lincoln,-34.7333,135.8667,14.55,49,94,11.58,AU,1721774901
46,whitehorse,60.7161,-135.0538,20.43,68,75,5.14,CA,1721774902
47,choibalsan,48.0667,114.5,21.63,74,100,2.22,MN,1721774904
48,fort bragg,35.139,-79.006,31.75,62,75,6.17,US,1721774905
49,klaksvik,62.2266,-6.589,11.51,84,41,4.82,FO,1721774906
50,punta arenas,-53.15,-70.9167,5.06,75,40,16.98,CL,1721774898
51,hotan,37.0997,79.9269,26.55,26,76,1.01,CN,1721774908
52,manadhoo,5.7667,73.3833,28.27,77,78,3.92,MV,1721774909
53,navoiy,40.0844,65.3792,24.71,29,0,3.09,UZ,1721774910
54,invercargill,-46.4,168.35,9.45,75,78,2.68,NZ,1721774911
55,mastic beach,40.7668,-72.8521,25.3,93,100,3.58,US,1721774912
56,santana,-0.0583,-51.1817,26.1,94,75,2.57,BR,1721774913
57,vilyuchinsk,52.9306,158.4028,12.15,92,100,2.32,RU,1721774915
58,miyaly,48.8844,53.7836,24.63,51,98,4.37,KZ,1721774916
59,kuala tungkal,-0.8167,103.4667,23.57,87,100,3.02,ID,1721774917
60,margaret river,-33.95,115.0667,12.71,67,93,7.12,AU,1721774918
61,puerto natales,-51.7236,-72.4875,3.83,77,98,6.07,CL,1721774919
62,imeni morozova,59.9757,31.0376,17.02,1,0,1.52,RU,1721774920
63,tromso,69.6496,18.957,14.01,88,75,2.57,NO,1721774763
64,sao paulo de olivenca,-3.3783,-68.8725,26.3,72,92,0.92,BR,1721774922
65,kenai,60.5544,-151.2583,16.75,90,100,3.09,US,1721774861
66,stanley,54.868,-1.6985,13.62,90,0,1.54,GB,1721774924
67,dudinka,69.4058,86.1778,11.51,54,100,10.53,RU,1721774926
68,tiksi,71.6872,128.8694,7.4,64,26,1.67,RU,1721774927
69,happy valley-goose bay,53.3168,-60.3315,17.17,59,75,2.06,CA,1721774928
70,atafu village,-8.5421,-172.5159,27.77,80,56,7.27,TK,1721774929
71,baharly,38.4362,57.4316,30.91,41,0,2.65,TM,1721774930
72,saint-louis,16.3333,-15.0,30.8,66,100,6.94,SN,1721774931
73,nova vicosa,-17.8919,-39.3719,21.51,68,0,3.23,BR,1721774932
74,kayyerkan,69.3786,87.7439,8.99,67,100,5.83,RU,1721774933
75,lihue,21.9789,-159.3672,26.31,84,100,7.72,US,1721774934
76,ilulissat,69.2167,-51.1,7.01,87,40,2.57,GL,1721774935
77,heihe,50.2441,127.4902,19.32,66,1,2.81,CN,1721774937
78,bodaybo,57.8506,114.1933,23.79,80,81,1.19,RU,1721774938
79,karratha,-20.7377,116.8463,17.66,80,1,3.21,AU,1721774940
80,vadso,70.0744,29.7487,20.49,67,93,2.06,NO,1721774941
81,ciudad lazaro cardenas,17.9583,-102.2,30.64,66,92,2.85,MX,1721774942
82,salinopolis,-0.6136,-47.3561,26.48,82,55,5.65,BR,1721774943
83,boa vista,2.8197,-60.6733,27.99,74,40,2.06,BR,1721774944
84,kodiak,57.79,-152.4072,12.73,94,100,0.0,US,1721774945
85,cuamba,-14.8031,36.5372,15.28,49,2,0.56,MZ,1721774947
86,flin flon,54.7682,-101.865,23.91,43,75,2.57,CA,1721774948
87,cannonvale,-20.2833,148.7,20.66,71,17,7.8,AU,1721774949
88,champerico,14.3,-91.9167,29.54,74,37,2.82,GT,1721774950
89,upata,8.0086,-62.3989,24.55,94,100,1.54,VE,1721774951
90,chinchilla,-26.75,150.6333,14.58,68,0,4.98,AU,1721774952
91,caleta de carquin,-11.0925,-77.6267,17.73,79,27,5.26,PE,1721774953
92,saipan,15.1355,145.701,28.39,83,75,2.06,MP,1721774954
93,illizi,26.4833,8.4667,35.89,11,1,1.17,DZ,1721774955
94,hermanus,-34.4187,19.2345,8.78,79,80,4.43,ZA,1721774957
95,bulayevo,54.9056,70.4439,13.88,96,100,5.32,KZ,1721774958
96,askoy,60.4092,5.226,13.19,88,20,5.14,NO,1721774959
97,kailua-kona,19.6406,-155.9956,29.43,70,7,0.89,US,1721774960
98,bellevue,47.6104,-122.2007,25.44,46,0,5.14,US,1721774663
99,st. john's,47.5649,-52.7093,20.66,61,75,6.69,CA,1721774901
100,port alfred,-33.5906,26.891,13.43,94,5,0.45,ZA,1721774963
101,plastun,44.7561,136.2939,18.26,91,100,1.27,RU,1721774964
102,chui,-33.6971,-53.4616,14.9,99,52,2.66,UY,1721774965
103,tura,25.5198,90.2201,24.93,96,100,2.42,IN,1721774966
104,pierre,44.3683,-100.351,32.51,37,0,3.6,US,1721774968
105,margate,51.3813,1.3862,17.39,88,94,0.55,GB,1721774969
106,codrington,-38.2667,141.9667,11.31,55,100,8.63,AU,1721774970
107,fale old settlement,-9.3852,-171.2468,27.78,80,92,8.34,TK,1721774971
108,ad dabbah,18.05,30.95,30.68,54,98,10.18,SD,1721774972
109,spanish wells,26.323,-81.7957,28.99,48,0,5.14,US,1721774973
110,sai buri,6.7013,101.6168,26.65,92,97,1.3,TH,1721774974
111,lebu,-37.6167,-73.65,10.87,92,100,4.27,CL,1721774975
112,zelenoborskiy,66.845,32.3622,13.54,69,68,0.88,RU,1721774976
113,ribas do rio pardo,-20.4431,-53.7592,21.96,28,1,2.14,BR,1721774978
114,kudahuvadhoo,2.6708,72.8944,28.58,75,30,2.37,MV,1721774979
115,al mahwit,15.4701,43.5448,19.69,55,91,1.72,YE,1721774981
116,longyearbyen,78.2186,15.6401,8.91,93,75,2.06,SJ,1721774982
117,broken hill,-31.95,141.4333,11.93,52,100,8.42,AU,1721774983
118,oelwein,42.6733,-91.9135,22.63,88,27,2.59,US,1721774984
119,olomouc,49.5955,17.2518,21.04,80,55,1.44,CZ,1721774596
120,carnarvon,-24.8667,113.6333,14.96,72,15,6.74,AU,1721774987
121,vargashi,55.3556,65.8467,12.12,94,100,4.88,RU,1721774988
122,hamilton,39.1834,-84.5333,29.8,56,100,3.6,US,1721774673
123,college,64.8569,-147.8028,28.99,39,20,3.09,US,1721774990
124,bilibino,68.0546,166.4372,16.06,95,100,1.39,RU,1721774991
125,puerto ayora,-0.7393,-90.3518,25.98,94,89,2.24,EC,1721774992
126,nar'yan-mar,67.6713,53.087,7.77,87,4,2.98,RU,1721774993
127,escanaba,45.7453,-87.0646,17.2,99,100,2.57,US,1721774994
128,sur,22.5667,59.5289,34.21,50,98,0.89,OM,1721774995
129,le port,-20.9373,55.2919,20.98,87,5,2.51,RE,1721774996
130,coquimbo,-29.9533,-71.3436,14.85,51,20,4.12,CL,1721774721
131,biltine,14.5333,20.9167,24.11,87,100,7.62,TD,1721774999
132,byron bay,-28.65,153.6167,12.62,83,71,2.78,AU,1721775000
133,shimokizukuri,40.8061,140.3861,26.61,84,100,5.18,JP,1721775001
134,west island,-12.1568,96.8225,26.99,69,20,4.63,CC,1721775002
135,howard,39.2504,-76.933,31.07,61,87,1.75,US,1721775003
136,fort st. john,56.2499,-120.8529,16.94,48,75,11.83,CA,1721775004
137,hithadhoo,-0.6,73.0833,28.71,74,100,4.04,MV,1721775005
138,newman,37.3138,-121.0208,43.19,12,39,4.86,US,1721775006
139,leava,-14.3,-178.1667,27.54,73,64,9.91,WF,1721775007
140,saudarkrokur,65.7461,-19.6394,11.38,87,100,7.18,IS,1721775010
141,faya-largeau,17.9257,19.1043,33.48,39,46,4.8,TD,1721775011
142,pionerskiy,54.9508,20.2275,11.91,75,8,2.63,RU,1721775012
143,hawaiian paradise park,19.5933,-154.9731,25.49,89,100,4.12,US,1721775013
144,bandarbeyla,9.4942,50.8122,25.73,78,93,13.52,SO,1721775014
145,olonkinbyen,70.9221,-8.7187,4.44,92,100,7.2,SJ,1721775015
146,kirensk,57.7853,108.1119,21.09,88,93,1.46,RU,1721775016
147,banda aceh,5.5577,95.3222,27.2,73,98,5.63,ID,1721775017
148,qulsary,46.9531,54.0198,28.3,35,40,2.12,KZ,1721775019
149,constantia,44.1833,28.65,22.61,49,35,4.25,RO,1721775020
150,gadzhiyevo,69.2551,33.3362,17.07,64,84,4.53,RU,1721775021
151,port elizabeth,-33.918,25.5701,14.62,85,0,4.47,ZA,1721775022
152,new norfolk,-42.7826,147.0587,11.51,62,64,2.03,AU,1721775023
153,lubango,-14.9172,13.4925,13.92,44,0,2.57,AO,1721775024
154,wenchang,30.904,118.4887,27.49,82,82,1.84,CN,1721775025
155,ballina,-28.8667,153.5667,12.66,86,54,2.75,AU,1721775026
156,berga,60.392,5.328,13.26,88,20,5.14,NO,1721775027
157,brisas de zicatela,15.8369,-97.0419,29.23,71,100,1.61,MX,1721775028
158,bengkulu,-3.8004,102.2655,22.6,87,96,2.46,ID,1721774954
159,talnakh,69.4865,88.3972,13.36,58,100,1.34,RU,1721775031
160,tobruk,32.0836,23.9764,26.27,88,0,5.86,LY,1721775032
161,berdyansk,46.7503,36.7944,22.93,72,35,1.42,UA,1721775033
162,flying fish cove,-10.4217,105.6791,23.82,78,75,3.09,CX,1721775034
163,chernyshevskiy,63.0128,112.4714,14.66,60,99,5.77,RU,1721775036
164,edd,13.9297,41.6925,34.28,59,96,0.79,ER,1721775037
165,bairnsdale,-37.8333,147.6167,9.55,63,92,2.4,AU,1721775038
166,amga,60.8953,131.9608,20.08,68,17,0.55,RU,1721775039
167,haiku-pauwela,20.9219,-156.3051,30.12,69,20,10.29,US,1721775041
168,khandyga,62.6667,135.6,20.79,72,99,1.05,RU,1721775042
169,nantucket,41.2835,-70.0995,23.08,88,100,5.14,US,1721774775
170,nago,26.5881,127.9761,30.25,84,100,10.72,JP,1721775044
171,iskateley,67.6803,53.1512,7.83,87,5,2.92,RU,1721775045
172,lepsy,46.235,78.9456,25.91,36,100,3.67,KZ,1721775047
173,al kharijah,25.4514,30.5464,32.37,19,37,4.44,EG,1721775048
174,lhasa,29.65,91.1,12.08,93,100,0.7,CN,1721775049
175,sarmiento,-45.5882,-69.07,10.93,57,59,3.24,AR,1721775051
176,jolo,6.05,121.0167,26.92,91,100,2.08,PH,1721775052
177,mount pearl,47.5166,-52.7813,20.19,62,75,6.69,CA,1721775053
178,touros,-5.1989,-35.4608,23.97,77,19,7.15,BR,1721775054
179,lexington,37.9887,-84.4777,27.36,72,75,2.06,US,1721774587
180,kristiansund,63.1115,7.732,13.4,92,75,1.03,NO,1721775056
181,forster,-32.1667,152.5167,11.32,100,0,2.36,AU,1721775057
182,le vauclin,14.5452,-60.8388,29.03,74,20,5.14,MQ,1721775058
183,baskil,38.5679,38.8238,24.91,42,0,1.79,TR,1721775059
184,saint-francois,46.4154,3.9054,17.6,100,50,2.06,FR,1721775060
185,saacow,1.6279,42.4407,23.21,84,96,4.99,SO,1721775061
186,ceerigaabo,10.6162,47.368,19.01,58,99,10.52,SO,1721775063
187,iqaluit,63.7506,-68.5145,17.85,42,40,6.69,CA,1721775064
188,inarajan village,13.2736,144.7484,30.22,93,100,4.96,GU,1721775065
189,sisimiut,66.9395,-53.6735,6.35,84,20,3.64,GL,1721775066
190,prince albert,53.2001,-105.7677,22.97,64,100,4.63,CA,1721775067
191,broome,42.2506,-75.833,26.49,56,60,3.13,US,1721775068
192,nouadhibou,20.931,-17.0347,20.7,90,55,0.65,MR,1721775069
193,berasia,23.6333,77.4333,24.12,94,100,5.99,IN,1721775070
194,wynyard,-41.0,145.7167,11.77,75,93,2.68,AU,1721775071
195,quellon,-43.1167,-73.6167,9.66,91,97,4.02,CL,1721775048
196,cockburn town,21.4612,-71.1419,28.17,81,3,9.53,TC,1721775074
197,bulawayo,-20.15,28.5833,14.42,29,0,2.66,ZW,1721775075
198,badger,64.8,-147.5333,28.95,40,20,3.09,US,1721775076
199,barroso,-21.1869,-43.9758,14.54,54,0,3.13,BR,1721775077
200,arraial do cabo,-22.9661,-42.0278,18.98,82,0,2.57,BR,1721775078
201,kalevala,65.2,31.1667,15.78,78,12,1.55,RU,1721775079
202,keflavik,64.0049,-22.5624,10.95,100,100,8.23,IS,1721775080
203,ashburton,-37.8626,145.0794,12.83,61,100,2.68,AU,1721775081
204,saint-joseph,-21.3667,55.6167,19.21,78,21,2.75,RE,1721775082
205,huarmey,-10.0681,-78.1522,18.22,79,12,5.47,PE,1721775084
206,siavonga,-16.5382,28.7088,19.28,40,0,1.95,ZM,1721775085
207,pasni,25.2631,63.471,28.0,85,89,3.48,PK,1721775086
208,kenora,49.8167,-94.4337,22.54,53,75,3.6,CA,1721775087
209,slupsk,54.4641,17.0287,13.58,79,78,3.19,PL,1721775088
210,praia da vitoria,38.7333,-27.0667,24.14,83,20,2.51,PT,1721775089
211,lagunas,-5.2269,-75.6753,28.02,63,72,0.6,PE,1721775090
212,ust-nera,64.5667,143.2,21.8,65,89,2.33,RU,1721775091
213,vila franca do campo,37.7167,-25.4333,23.23,85,93,1.85,PT,1721775092
214,kamaishi,39.2667,141.8833,26.28,70,100,3.27,JP,1721775093
215,katsuura,35.1333,140.3,27.39,84,98,7.85,JP,1721775094
216,klyuchi,52.2667,79.1667,20.21,61,37,3.93,RU,1721775096
217,islamkot,24.6997,70.177,28.76,80,74,6.96,PK,1721775097
218,kingscliff,-28.2667,153.5667,16.08,88,33,1.54,AU,1721775099
219,guerrero negro,27.9769,-114.0611,24.83,61,100,7.42,MX,1721775100
220,nadym,65.5333,72.5167,7.46,72,45,4.55,RU,1721775101
221,mount gambier,-37.8333,140.7667,10.76,53,100,5.75,AU,1721775102
222,polyarnyy,69.1989,33.4478,16.49,65,84,5.01,RU,1721775103
223,kargil,34.5667,76.1,12.25,62,50,3.02,IN,1721775104
224,vorgashor,67.5833,63.95,7.17,74,20,3.45,RU,1721775106
225,acapulco de juarez,16.8634,-99.8901,31.9,66,40,3.6,MX,1721775107
226,hereford,52.0568,-2.7148,18.71,89,98,1.14,GB,1721775108
227,korla,41.7597,86.1469,27.15,30,2,2.45,CN,1721775109
228,septemvri,42.2167,24.1,21.46,68,7,2.31,BG,1721775110
229,anori,-3.7728,-61.6442,28.13,44,33,1.39,BR,1721775111
230,nemuro,43.3236,145.575,20.93,86,75,9.56,JP,1721775112
231,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,5.0,RU,1721775113
232,lata,40.1629,-8.3327,26.07,54,0,0.63,PT,1721775114
233,tamarin,-20.3256,57.3706,21.96,92,1,3.35,MU,1721775115
234,qaqortoq,60.7167,-46.0333,5.57,95,100,1.01,GL,1721775117
235,makhambet,47.6667,51.5833,25.92,46,82,4.27,KZ,1721775118
236,kimbe,-5.5502,150.1429,28.77,70,89,3.08,PG,1721775119
237,kirakira,-10.4544,161.9205,28.36,79,68,5.48,SB,1721775120
238,hadibu,12.65,54.0333,26.14,81,100,6.4,YE,1721775121
239,jianguang,28.1938,115.7836,30.99,61,8,1.33,CN,1721775122
240,oranjemund,-28.55,16.4333,11.47,84,14,1.48,NA,1721775124
241,taltal,-25.4,-70.4833,15.59,63,0,1.97,CL,1721775126
242,saint-pierre,-21.3393,55.4781,19.82,56,0,4.12,RE,1721775127
243,taoudenni,22.6783,-3.9836,39.73,20,0,3.97,ML,1721775128
244,fort mcmurray,56.7268,-111.381,27.77,54,40,5.14,CA,1721775129
245,tulun,54.5611,100.5792,15.89,96,100,6.18,RU,1721775130
246,uturoa,-16.7333,-151.4333,25.32,71,22,7.64,PF,1721775131
247,rikaze,29.25,88.8833,12.4,80,100,0.15,CN,1721775132
248,puerto lleras,3.0223,-73.4044,23.55,83,96,1.44,CO,1721775133
249,thompson,55.7435,-97.8558,24.09,35,40,3.6,CA,1721775134
250,ulladulla,-35.35,150.4667,12.93,57,100,3.43,AU,1721775136
251,kapoeta,4.7717,33.5903,21.78,88,100,1.73,SS,1721775138
252,tolanaro,-25.0319,46.9987,19.04,94,75,0.0,MG,1721775139
253,odienne,9.51,-7.5692,22.56,96,100,1.89,CI,1721775140
254,palmer,42.1584,-72.3287,23.78,75,100,2.06,US,1721775141
255,calchaqui,-29.8877,-60.287,20.33,62,30,4.56,AR,1721774894
256,gorodoviki,46.1353,41.9656,18.38,90,78,2.48,RU,1721775143
257,goundam,16.4145,-3.6708,32.58,49,92,10.42,ML,1721775145
258,aripuana,-9.1667,-60.6333,25.37,38,3,1.02,BR,1721775146
259,callao,-12.0667,-77.15,20.79,84,68,5.73,PE,1721774987
260,yreka,41.7354,-122.6345,38.6,25,20,1.54,US,1721775148
261,igarka,67.4667,86.5833,10.62,97,100,4.59,RU,1721775149
262,prado,-17.3411,-39.2208,20.86,69,0,3.24,BR,1721775150
263,khark,29.2614,50.3306,34.39,61,3,1.54,IR,1721775151
264,nova sintra,14.8667,-24.7167,24.25,82,97,5.25,CV,1721775152
265,armacao de buzios,-22.7469,-41.8817,21.03,81,0,1.53,BR,1721774904
266,la passe,45.5549,-0.8967,19.13,89,9,3.58,FR,1721775154
267,aberdeen,57.1437,-2.0981,12.52,87,100,2.06,GB,1721774928
268,sitka,57.0531,-135.33,12.94,88,100,2.57,US,1721775157
269,pangai,-19.8,-174.35,26.06,73,20,4.12,TO,1721775158
270,lieksa,63.3167,30.0167,16.26,73,5,1.84,FI,1721775159
271,macheng,31.1783,115.0319,29.57,76,88,1.44,CN,1721775160
272,gaspe,48.8334,-64.4819,20.12,49,20,4.12,CA,1721775162
273,lupane,-18.9315,27.807,12.92,33,0,1.06,ZW,1721775163
274,sinabang,2.4803,96.3801,26.98,85,84,2.38,ID,1721775164
275,weno,7.4515,151.8468,26.97,94,100,0.0,FM,1721775165
276,kruisfontein,-34.0033,24.7314,11.05,83,62,3.64,ZA,1721775167
277,hashtrud,37.4779,47.0508,21.69,45,3,1.68,IR,1721775168
278,ankazobe,-18.3167,47.1167,13.76,88,75,2.54,MG,1721775169
279,barcelos,41.5388,-8.6151,21.08,54,0,1.78,PT,1721775170
280,cabo san lucas,22.8909,-109.9124,33.12,67,4,1.79,MX,1721775018
281,ain el bya,35.8039,-0.3018,25.27,63,0,1.5,DZ,1721775172
282,penzance,50.1186,-5.5371,15.38,85,100,1.88,GB,1721775173
283,port mathurin,-19.6833,63.4167,21.96,79,30,6.45,MU,1721775174
284,zouerate,22.7187,-12.4521,34.01,32,41,3.65,MR,1721775175
285,kegeyli shahar,42.7767,59.6078,27.05,41,53,3.88,UZ,1721775177
286,tainan,22.9908,120.2133,28.88,83,75,3.09,TW,1721775178
287,suntar,62.1444,117.6319,17.16,52,79,4.31,RU,1721775179
288,shimoda,34.6667,138.95,29.5,84,98,7.75,JP,1721775180
289,daru,-9.0763,143.2092,25.31,87,83,7.68,PG,1721775181
290,novoarkhanhel's'k,48.658,30.8182,18.41,64,8,3.03,UA,1721775182
291,saint-denis,48.9167,2.3333,17.91,77,0,2.57,FR,1721775183
292,gunnison,38.7,-107.0673,24.47,13,41,3.29,US,1721775184
